     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella  20 06:52:37  -179859.219643       0.5475       0.0000       0.0013       0.4719
Sella  21 07:02:25  -179859.222803       0.5403       0.0000       0.0013       0.4655
Sella  22 07:12:09  -179859.225835       0.4880       0.0000       0.0013       0.4895
Sella  23 07:21:59  -179859.228871       0.5369       0.0000       0.0013       0.5513
Sella  24 07:31:33  -179859.231913       0.5211       0.0000       0.0013       0.4985
Sella  25 07:41:12  -179859.235145       0.4872       0.0000       0.0013       0.5664
Sella  26 07:51:03  -179859.238444       0.5161       0.0000       0.0013       0.6087
Sella  27 08:00:40  -179859.241892       0.4930       0.0000       0.0013       0.6652
Sella  28 08:10:34  -179859.245290       0.4405       0.0000       0.0013       0.6299
Sella  29 08:20:18  -179859.249181       0.4602       0.0000       0.0013       0.9284
Sella  30 08:30:06  -179859.253267       0.4444       0.0000       0.0013       0.8251
Sella  31 08:40:00  -179859.257078       0.4374       0.0000       0.0013       0.9349
Sella  32 08:49:38  -179859.260662       0.4489       0.0000       0.0013       0.9399
Sella  33 08:59:20  -179859.264177       0.4123       0.0000       0.0013       0.9577
Sella  34 09:09:01  -179859.267548       0.4319       0.0000       0.0015       0.9728
Sella  35 09:18:50  -179859.271224       0.4020       0.0000       0.0015       0.9309
Sella  36 09:28:35  -179859.274753       0.3888       0.0000       0.0015       0.8769
Sella  37 09:38:16  -179859.278344       0.3905       0.0000       0.0015       0.9550
Sella  38 09:47:58  -179859.281493       0.3655       0.0000       0.0018       0.9861
Sella  39 09:57:44  -179859.285648       0.3381       0.0000       0.0018       0.9065
Sella  40 10:07:24  -179859.289437       0.2975       0.0000       0.0018       0.9602
Sella  41 10:17:02  -179859.292731       0.3171       0.0000       0.0018       0.8581
Sella  42 10:26:46  -179859.296141       0.2762       0.0000       0.0018       0.9369
Sella  43 10:36:28  -179859.299961       0.2661       0.0000       0.0018       0.9514
Sella  44 10:46:05  -179859.303320       0.2380       0.0000       0.0018       0.9256
Sella  45 10:55:58  -179859.306872       0.2220       0.0000       0.0018       0.9462
Sella  46 11:05:43  -179859.310394       0.2064       0.0000       0.0018       0.9238
Sella  47 11:15:28  -179859.313273       0.2172       0.0000       0.0020       0.9737
Sella  48 11:25:16  -179859.316022       0.2283       0.0000       0.0020       0.7996
Sella  49 11:35:05  -179859.319315       0.2200       0.0000       0.0020       0.8885
Sella  50 11:44:43  -179859.322224       0.2390       0.0000       0.0020       0.9195
Sella  51 11:54:31  -179859.324682       0.2022       0.0000       0.0020       0.8445
Sella  52 12:04:18  -179859.327174       0.2123       0.0000       0.0020       0.9239
Sella  53 12:14:06  -179859.329452       0.1778       0.0000       0.0020       0.8624
Sella  54 12:23:43  -179859.331555       0.1709       0.0000       0.0020       0.9508
Sella  55 12:33:18  -179859.333608       0.1954       0.0000       0.0020       0.8296
Sella  56 12:42:56  -179859.335310       0.1657       0.0000       0.0020       0.8816
Sella  57 12:52:44  -179859.336938       0.1308       0.0000       0.0020       0.8219
Sella  58 13:02:38  -179859.338522       0.1163       0.0000       0.0020       0.8338
Sella  59 13:12:14  -179859.339961       0.1516       0.0000       0.0020       0.8372
Sella  60 13:22:04  -179859.341192       0.1172       0.0000       0.0020       0.7420
Sella  61 13:31:48  -179859.342519       0.1208       0.0000       0.0020       0.8310
Sella  62 13:41:32  -179859.343676       0.1076       0.0000       0.0020       0.5715
Sella  63 13:51:15  -179859.345008       0.0880       0.0000       0.0020       0.7154
Sella  64 14:01:05  -179859.345998       0.0886       0.0000       0.0020       0.9055
Sella  65 14:10:55  -179859.347144       0.0861       0.0000       0.0020       0.9154
Sella  66 14:20:51  -179859.348133       0.0839       0.0000       0.0020       0.7950
Sella  67 14:30:41  -179859.349125       0.1097       0.0000       0.0020       0.8302
Sella  68 14:40:25  -179859.350090       0.1028       0.0000       0.0020       0.8376
Sella  69 14:50:04  -179859.350925       0.1142       0.0000       0.0020       0.8705
Sella  70 14:59:41  -179859.351755       0.1366       0.0000       0.0020       0.9534
Sella  71 15:09:21  -179859.352436       0.1104       0.0000       0.0020       0.5626
Sella  72 15:19:09  -179859.353308       0.1471       0.0000       0.0020       0.8911
Sella  73 15:29:08  -179859.354038       0.1529       0.0000       0.0020       0.8213
Sella  74 15:38:45  -179859.354683       0.1721       0.0000       0.0020       0.8901
Sella  75 15:48:29  -179859.355380       0.1549       0.0000       0.0020       0.8315
     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 00:50:19  -179859.355370       0.1576       0.0000       0.1000       1.0000
Sella   1 12:56:32  -179859.231287       1.5980       0.0000       0.0650      -0.0035
Sella   2 13:06:29  -179859.167225       1.2718       0.0000       0.0423      -0.0026
Sella   3 13:16:07  -179859.127371       0.9349       0.0000       0.0275      -0.0033
Sella   4 13:26:07  -179859.119076       0.8589       0.0000       0.0179      -0.0029
Sella   5 13:35:48  -179859.116344       1.0055       0.0000       0.0116      -0.0015
Sella   6 13:45:36  -179859.126533       0.8868       0.0000       0.0075       0.0160
Sella   7 13:55:19  -179859.135527       0.8934       0.0000       0.0049       0.0358
Sella   8 14:05:06  -179859.140811       0.8611       0.0000       0.0032       0.0652
Sella   9 14:14:50  -179859.145424       0.8304       0.0000       0.0021       0.0925
Sella  10 14:24:40  -179859.150357       0.8195       0.0000       0.0021       0.3598
Sella  11 14:34:12  -179859.154786       0.8092       0.0000       0.0021       0.2439
Sella  12 14:44:06  -179859.159260       0.7972       0.0000       0.0021       0.2252
Sella  13 14:53:43  -179859.163933       0.7901       0.0000       0.0021       0.2717
Sella  14 15:03:34  -179859.168421       0.7894       0.0000       0.0021       0.2738
Sella  15 15:13:26  -179859.173326       0.7648       0.0000       0.0021       0.2973
Sella  16 15:23:08  -179859.177539       0.7846       0.0000       0.0021       0.2797
Sella  17 15:32:54  -179859.182272       0.7771       0.0000       0.0021       0.3655
Sella  18 15:42:42  -179859.187117       0.7494       0.0000       0.0021       0.3814
Sella  19 15:52:32  -179859.192107       0.7360       0.0000       0.0021       0.3132
Sella  20 16:02:11  -179859.196987       0.7399       0.0000       0.0021       0.3297
Sella  21 16:11:49  -179859.201846       0.6965       0.0000       0.0021       0.3902
Sella  22 16:21:50  -179859.206319       0.6717       0.0000       0.0021       0.4549
Sella  23 16:31:28  -179859.210751       0.7049       0.0000       0.0021       0.4110
Sella  24 16:41:03  -179859.215170       0.6523       0.0000       0.0021       0.3474
Sella  25 16:50:44  -179859.219840       0.6646       0.0000       0.0021       0.5328
Sella  26 17:00:36  -179859.224787       0.6437       0.0000       0.0021       0.5350
Sella  27 17:10:20  -179859.229779       0.6561       0.0000       0.0021       0.5036
Sella  28 17:20:14  -179859.235051       0.6373       0.0000       0.0021       0.4964
Sella  29 17:30:01  -179859.240247       0.6430       0.0000       0.0021       0.6151
Sella  30 17:39:52  -179859.246081       0.6210       0.0000       0.0021       0.6352
Sella  31 17:49:33  -179859.252117       0.5805       0.0000       0.0021       0.6714
Sella  32 17:59:16  -179859.257515       0.5583       0.0000       0.0021       0.8716
Sella  33 18:09:10  -179859.262531       0.5303       0.0000       0.0021       0.8961
Sella  34 18:18:52  -179859.268694       0.5260       0.0000       0.0021       0.8698
Sella  35 18:28:26  -179859.273976       0.4887       0.0000       0.0024       0.9763
Sella  36 18:38:21  -179859.279691       0.4958       0.0000       0.0024       0.9358
Sella  37 18:48:06  -179859.284663       0.4788       0.0000       0.0024       0.8929
Sella  38 18:57:54  -179859.289630       0.4190       0.0000       0.0027       0.9855
Sella  39 19:07:39  -179859.295559       0.3839       0.0000       0.0027       0.7912
Sella  40 19:17:23  -179859.301434       0.3747       0.0000       0.0027       0.9199
Sella  41 19:27:13  -179859.306842       0.3110       0.0000       0.0027       0.9392
